Country,year,ASMR_per_100k,age,Cause of death
Austria,2013,9.101512389,all ages,(A_B) Infectious & parasitic diseases
Austria,2013,250.3941566,all ages,(C) Malignant Neoplasms
Austria,2013,8.474850248,all ages,(D00-D48) Neoplasms
Austria,2013,2.513061441,all ages,(D50-D89) Blood & blood-forming organs/ immune
Austria,2013,48.19328463,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Austria,2013,20.34939802,all ages,(F) Mental & behavioural disorders
Austria,2013,36.6122881,all ages,(G_H) Nervous system/ eye/ ear
Austria,2013,437.6309921,all ages,(I) Circulatory system
Austria,2013,50.33233083,all ages,(J) Rrespiratory system
Austria,2013,37.08561696,all ages,(K) Digestive system
Austria,2013,0.740713599,all ages,(L) Skin & subcutaneous tissue
Austria,2013,3.231954868,all ages,(M) Musculoskeletal system & connective tissue  
Austria,2013,18.30212652,all ages,(N) Genitourinary system
Austria,2013,0.012794689,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Austria,2013,1.606339615,all ages,(P) Perinatal period
Austria,2013,3.299818115,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Austria,2013,9.613680212,all ages,(R) Abnormal-not elsewhere classified
Austria,2013,0,all ages,(U071) Covid19 identified
Austria,2013,0,all ages,(U072) Covid19 not identified
Belgium,2013,27.37434184,all ages,(A_B) Infectious & parasitic diseases
Belgium,2013,260.9926628,all ages,(C) Malignant Neoplasms
Belgium,2013,13.40174691,all ages,(D00-D48) Neoplasms
Belgium,2013,3.652425978,all ages,(D50-D89) Blood & blood-forming organs/ immune
Belgium,2013,27.53181133,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Belgium,2013,46.74805693,all ages,(F) Mental & behavioural disorders
Belgium,2013,51.72813798,all ages,(G_H) Nervous system/ eye/ ear
Belgium,2013,300.2457107,all ages,(I) Circulatory system
Belgium,2013,108.6875248,all ages,(J) Rrespiratory system
Belgium,2013,43.91995882,all ages,(K) Digestive system
Belgium,2013,2.824508243,all ages,(L) Skin & subcutaneous tissue
Belgium,2013,5.193440992,all ages,(M) Musculoskeletal system & connective tissue  
Belgium,2013,24.97630479,all ages,(N) Genitourinary system
Belgium,2013,0.035973511,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Belgium,2013,1.692894791,all ages,(P) Perinatal period
Belgium,2013,2.329444528,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Belgium,2013,47.75083683,all ages,(R) Abnormal-not elsewhere classified
Belgium,2013,0,all ages,(U071) Covid19 identified
Belgium,2013,0,all ages,(U072) Covid19 not identified
Bulgaria,2013,7.019015786,all ages,(A_B) Infectious & parasitic diseases
Bulgaria,2013,244.989522,all ages,(C) Malignant Neoplasms
Bulgaria,2013,2.18920772,all ages,(D00-D48) Neoplasms
Bulgaria,2013,2.143176706,all ages,(D50-D89) Blood & blood-forming organs/ immune
Bulgaria,2013,20.41024919,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Bulgaria,2013,1.325936065,all ages,(F) Mental & behavioural disorders
Bulgaria,2013,14.24107962,all ages,(G_H) Nervous system/ eye/ ear
