geo,year,Life_Expectancy,sex,age,geo name
AT11:Burgenland,2013,21,Females,65,Burgenland (Austria)
AT11:Burgenland,2014,21.2,Females,65,Burgenland (Austria)
AT11:Burgenland,2015,21.2,Females,65,Burgenland (Austria)
AT11:Burgenland,2016,21.3,Females,65,Burgenland (Austria)
AT11:Burgenland,2017,21.3,Females,65,Burgenland (Austria)
AT11:Burgenland,2018,21.4,Females,65,Burgenland (Austria)
AT11:Burgenland,2019,21.2,Females,65,Burgenland (Austria)
AT11:Burgenland,2020,20.7,Females,65,Burgenland (Austria)
AT11:Burgenland,2021,21.2,Females,65,Burgenland (Austria)
AT11:Burgenland,2022,20.9,Females,65,Burgenland (Austria)
AT11:Burgenland,2023,21.8,Females,65,Burgenland (Austria)
AT12:Nieder√∂sterreich,2013,21.1,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2014,21.4,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2015,20.9,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2016,21.2,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2017,21.1,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2018,21.1,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2019,21.2,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2020,21,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2021,20.6,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2022,20.8,Females,65,Niederˆsterreich (Austria)
AT12:Nieder√∂sterreich,2023,21.2,Females,65,Niederˆsterreich (Austria)
AT13:Wien,2013,20.9,Females,65,Wien (Austria)
AT13:Wien,2014,21.2,Females,65,Wien (Austria)
AT13:Wien,2015,20.9,Females,65,Wien (Austria)
AT13:Wien,2016,21.1,Females,65,Wien (Austria)
AT13:Wien,2017,20.7,Females,65,Wien (Austria)
AT13:Wien,2018,20.7,Females,65,Wien (Austria)
AT13:Wien,2019,21.2,Females,65,Wien (Austria)
AT13:Wien,2020,20.3,Females,65,Wien (Austria)
AT13:Wien,2021,20.2,Females,65,Wien (Austria)
AT13:Wien,2022,20.3,Females,65,Wien (Austria)
AT13:Wien,2023,20.9,Females,65,Wien (Austria)
AT21:K√§rnten,2013,22,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2014,22.2,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2015,21.9,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2016,22.1,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2017,21.9,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2018,21.8,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2019,22.1,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2020,21.1,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2021,21.7,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2022,21.2,Females,65,K‰rnten (Austria)
AT21:K√§rnten,2023,21.8,Females,65,K‰rnten (Austria)
AT22:Steiermark,2013,22.1,Females,65,Steiermark (Austria)
AT22:Steiermark,2014,22.1,Females,65,Steiermark (Austria)
AT22:Steiermark,2015,21.5,Females,65,Steiermark (Austria)
AT22:Steiermark,2016,22,Females,65,Steiermark (Austria)
AT22:Steiermark,2017,21.7,Females,65,Steiermark (Austria)
AT22:Steiermark,2018,22,Females,65,Steiermark (Austria)
AT22:Steiermark,2019,22,Females,65,Steiermark (Austria)
AT22:Steiermark,2020,20.9,Females,65,Steiermark (Austria)
AT22:Steiermark,2021,21.6,Females,65,Steiermark (Austria)
AT22:Steiermark,2022,21.3,Females,65,Steiermark (Austria)
AT22:Steiermark,2023,21.8,Females,65,Steiermark (Austria)
AT31:Ober√∂sterreich,2013,21.4,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2014,22.1,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2015,21.3,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2016,22.1,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2017,21.7,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2018,21.8,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2019,21.7,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2020,21.4,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2021,21.2,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2022,21.3,Females,65,Oberˆsterreich (Austria)
AT31:Ober√∂sterreich,2023,21.7,Females,65,Oberˆsterreich (Austria)
AT32:Salzburg,2013,22.1,Females,65,Salzburg (Austria)
AT32:Salzburg,2014,22.3,Females,65,Salzburg (Austria)
AT32:Salzburg,2015,22.1,Females,65,Salzburg (Austria)
AT32:Salzburg,2016,22.2,Females,65,Salzburg (Austria)
AT32:Salzburg,2017,22,Females,65,Salzburg (Austria)
AT32:Salzburg,2018,22.6,Females,65,Salzburg (Austria)
AT32:Salzburg,2019,22.3,Females,65,Salzburg (Austria)
AT32:Salzburg,2020,21.7,Females,65,Salzburg (Austria)
AT32:Salzburg,2021,21.9,Females,65,Salzburg (Austria)
AT32:Salzburg,2022,21.5,Females,65,Salzburg (Austria)
AT32:Salzburg,2023,22.1,Females,65,Salzburg (Austria)
AT33:Tirol,2013,22.1,Females,65,Tirol (Austria)
AT33:Tirol,2014,22.2,Females,65,Tirol (Austria)
AT33:Tirol,2015,21.9,Females,65,Tirol (Austria)
AT33:Tirol,2016,22.6,Females,65,Tirol (Austria)
AT33:Tirol,2017,22.4,Females,65,Tirol (Austria)
AT33:Tirol,2018,22.5,Females,65,Tirol (Austria)
AT33:Tirol,2019,22.6,Females,65,Tirol (Austria)
AT33:Tirol,2020,21.9,Females,65,Tirol (Austria)
AT33:Tirol,2021,22.1,Females,65,Tirol (Austria)
AT33:Tirol,2022,21.9,Females,65,Tirol (Austria)
AT33:Tirol,2023,22.4,Females,65,Tirol (Austria)
AT34:Vorarlberg,2013,22.2,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2014,22.9,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2015,22.2,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2016,22.4,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2017,22.1,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2018,22.2,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2019,22.6,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2020,21.9,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2021,22.4,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2022,21.9,Females,65,Vorarlberg (Austria)
AT34:Vorarlberg,2023,22.8,Females,65,Vorarlberg (Austria)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,21.1,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,21.7,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,21.2,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,21.7,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,21.7,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,21.6,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,21.6,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,19.8,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,21.9,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,21.4,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023,21.7,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE10:R√©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024,21.7,Females,65,RÈgion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (Belgium)
BE21:Prov. Antwerpen,2013,21.5,Females,65,Prov. Antwerpen (Belgium)
BE21:Prov. Antwerpen,2014,22.1,Females,65,Prov. Antwerpen (Belgium)
BE21:Prov. Antwerpen,2015,21.7,Females,65,Prov. Antwerpen (Belgium)
BE21:Prov. Antwerpen,2016,22.2,Females,65,Prov. Antwerpen (Belgium)
BE21:Prov. Antwerpen,2017,22.1,Females,65,Prov. Antwerpen (Belgium)
